DATAFLOW,LAST UPDATE,freq,indic_em,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2013,19.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2014,18.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2015,18.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2016,19.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2017,20.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2018,21.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2019,20.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2020,19.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2021,19.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2022,21.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2023,19.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EL,2024,18.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2009,14.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2010,12.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2011,11.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2012,10.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2013,9.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2014,10.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2015,11.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2016,11.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2017,11.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2018,12.1,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2019,11.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2020,11.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2021,10.8,d,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2022,11.2,d,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2023,10.3,d,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,ES,2024,9.8,d,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2009,13.4,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2010,12.7,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2011,12.5,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2012,11.8,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2013,11.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2014,11.1,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2015,11.1,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2016,11.1,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2017,11.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2018,11.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2019,11.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2020,11.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2021,10.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2022,10.6,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2023,10.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,EU27_2020,2024,10.0,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,FI,2009,2.2,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,FI,2010,3.1,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,FI,2011,3.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,FI,2012,3.3,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,FI,2013,2.9,,
ESTAT:TESEM060(1.0),11/12/25 23:00:00,A,EMP_LFS,Y20-64,PC_POP,FI,2014,2.0,,
